800854,Faridpur (NP),784,150,9
800855,Richha (NP),784,150,9
800856,Deoranian (NP),784,150,9
800857,Shergarh (NP),784,150,9
800858,Shishgarh (NP),785,150,9
800859,Mirganj (NP),785,150,9
800860,Fatehganj Pashchimi (NP),785,150,9
800861,Shahi (NP),785,150,9
800862,Bisharatganj (NP),786,150,9
800863,Aonla (NPP),786,150,9
800864,Sirauli (NP),786,150,9
800865,Dhaura Tanda (NP),787,150,9
800866,Bareilly (M Corp. + OG),787,150,9
800867,Bareilly (CB),787,150,9
800868,Thiriya Nizamat Khan (NP),787,150,9
800869,Rithora (NP),787,150,9
800870,Sainthal (NP),788,150,9
800871,Nawabganj (NPP),788,150,9
800872,Fatehganj Purvi (NP),789,150,9
800873,Faridpur (NPP),789,150,9
800874,Gulariya Bhindara (NP),790,151,9
800875,Nyoria Husainpur (NP),790,151,9
800876,Jahanabad (NP),790,151,9
800877,Pilibhit (NPP),790,151,9
800878,Barkhera (NP),791,151,9
800879,Bisalpur (NPP),791,151,9
800880,Bilsanda (NP),791,151,9
800881,Kalinagar (NP),792,151,9
800882,Puranpur (NPP),792,151,9
800883,Khutar (NP),793,152,9
800884,Powayan (NP),793,152,9
800885,Khudaganj (NP),794,152,9
800886,Katra (NP),794,152,9
800887,Tilhar (NPP),794,152,9
800888,Railway Settlement Roza (NP),795,152,9
800889,Shahjahanpur (NPP),795,152,9
800890,Shahjahanpur (CB),795,152,9
800892,Jalalabad (NPP),796,152,9
800893,Allahganj (NP),796,152,9
800894,Singahi Bhiraura (NP),797,153,9
800895,Paliya Kalan (NPP),798,153,9
800896,Mailani (NP),799,153,9
800897,Gola Gokaran Nath (NPP),799,153,9
800898,Mohammadi (NPP),800,153,9
800899,Barwar (NP),800,153,9
800900,Lakhimpur (NPP),801,153,9
800901,Kheri (NP),801,153,9
800902,Oel Dhakwa (NP),801,153,9
800903,Dhaurehra (NP),802,153,9
800904,Maholi (NP),803,154,9
800905,Misrikh-cum-Neemsar (NPP),803,154,9
800906,Khairabad (NPP),804,154,9
800907,Sitapur (NPP),804,154,9
800908,Hargaon (NP),804,154,9
800909,Laharpur (NPP),805,154,9
800910,Tambaur-cum-Ahamdabad (NP),805,154,9
800911,Biswan (NPP),806,154,9
800912,Mahmudabad (NPP),807,154,9
800913,Paintepur (NP),807,154,9
800914,Sidhauli (NP),808,154,9
800915,Shahabad (NPP),809,155,9
800916,Pihani (NPP),809,155,9
800917,Pali (NP),810,155,9
800918,Gopamau (NP),811,155,9
800919,Hardoi (NPP + OG),811,155,9
800920,Sandi (NPP),812,155,9
800921,Bilgram (NPP),812,155,9
800922,Madhoganj (NP),812,155,9
800923,Mallawan (NPP),812,155,9
800924,Kursath (NP),812,155,9
800925,Kachhauna Patseni (NP),813,155,9
800926,Beniganj (NP),813,155,9
800927,Sandila (NPP),813,155,9
800928,Ganj Muradabad (NP),814,156,9
800929,Bangarmau (NPP),814,156,9
800930,Fatehpur Chaurasi (NP),814,156,9
800931,Ugu (NP),814,156,9
800932,Safipur (NP),814,156,9
800934,Auras (NP),815,156,9
800935,Hyderabad (NP),815,156,9
800936,Rasulabad (NP),815,156,9
800937,Mohan (NP),815,156,9
800938,Nyotini (NP),815,156,9
800939,Nawabganj (NP),815,156,9
